,prelim.household,prelim.gender,prelim.age,hh.wealth1,hh.SMP,hh.Pesticide,base.control,base.attitudes,base.dnorms,base.innorms,base.intention,follow.control,follow.attitudes,follow.dnorms,follow.innorms,follow.intention,final.control,final.attitudes,final.dnorms,final.innorms,final.intention,follow.event_attendance,base.hotline,follow.hotline,final.hotline,base.story,follow.story,final.story,base.pledge,follow.pledge,final.pledge,base.Knowledge,follow.Knowledge,final.Knowledge,ID,Base
76,148,0,18,5,NA,1,NA,NA,NA,NA,NA,12,17,8,16,9,NA,NA,NA,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,76,0
77,66,1,27,4,1,0,NA,NA,NA,NA,NA,10,17,9,16,8,NA,NA,NA,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,77,0
78,95,0,31,3,0,0,NA,NA,NA,NA,NA,10,17,7,16,10,11,15,6,14,6,0,0,1,0,0,0,0,0,0,0,0,1,0,78,0
79,80,0,24,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,79,0
80,90,0,43,4,1,0,NA,NA,NA,NA,NA,9,19,9,15,10,11,20,10,16,10,1,0,3,1,0,5,5,0,3,1,0,11,7,80,0
81,7,1,45,3,0,0,10,14,6,14,8,14,14,9,18,10,9,14,6,16,6,1,0,3,2,0,1,5,0,1,2,0,5,9,81,1
82,51,1,30,3,0,0,NA,NA,NA,NA,NA,13,17,6,16,9,12,15,6,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0
83,8,0,41,5,NA,0,12,12,6,11,9,10,14,6,16,8,NA,NA,NA,NA,NA,1,0,2,NA,0,5,NA,0,2,NA,0,9,NA,83,1
84,13,0,19,4,0,0,NA,NA,NA,NA,NA,13,14,6,13,9,12,16,6,15,8,0,0,0,2,0,1,5,0,2,2,0,3,9,84,0
85,131,0,22,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,85,0
86,150,1,30,4,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,86,0
87,38,0,22,5,1,0,10,15,6,14,8,12,17,8,16,10,12,13,6,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,87,1
88,36,0,22,4,NA,1,12,15,6,12,10,12,14,8,14,9,12,12,6,15,9,0,0,0,0,0,0,0,0,0,0,0,0,0,88,1
89,87,1,77,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,89,0
90,12,1,28,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,90,0
91,30,1,68,2,0,0,NA,NA,NA,NA,NA,9,12,6,12,6,NA,NA,NA,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,91,0
92,11,0,68,2,0,0,10,18,6,14,7,10,14,8,17,8,NA,NA,NA,NA,NA,1,0,2,NA,0,2,NA,0,2,NA,0,6,NA,92,1
93,127,0,66,2,0,1,NA,NA,NA,NA,NA,8,14,6,11,8,10,16,6,12,8,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0
94,121,0,48,3,0,0,NA,NA,NA,NA,NA,13,14,6,17,9,11,16,7,15,9,0,0,0,0,0,0,5,0,0,2,0,0,7,94,0
95,117,0,35,4,0,0,NA,NA,NA,NA,NA,12,15,6,9,8,10,14,6,13,8,0,0,0,0,0,0,0,0,2,0,0,2,0,95,0
96,NA,NA,NA,NA,NA,NA,9,9,5,8,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,96,1
97,118,0,54,4,0,1,NA,NA,NA,NA,NA,13,14,8,17,9,11,16,6,14,6,0,0,0,0,0,0,0,0,0,1,0,0,1,97,0
98,85,0,58,5,1,0,NA,NA,NA,NA,NA,11,15,9,16,9,11,20,9,20,8,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0
99,153,0,23,5,0,0,NA,NA,NA,NA,NA,12,15,6,16,9,12,15,7,16,6,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0
100,152,0,25,2,0,0,NA,NA,NA,NA,NA,8,14,7,13,8,9,13,6,12,6,0,0,0,0,0,1,0,0,0,0,0,1,0,100,0
101,77,0,21,2,0,0,NA,NA,NA,NA,NA,12,14,6,14,10,NA,NA,NA,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,101,0
102,74,1,21,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,102,0
103,47,0,24,3,1,0,8,14,7,9,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,103,1
104,94,1,27,4,0,0,NA,NA,NA,NA,NA,15,19,10,17,10,NA,NA,NA,NA,NA,0,0,3,NA,0,0,NA,0,0,NA,0,3,NA,104,0
105,74,0,18,3,0,0,NA,NA,NA,NA,NA,12,13,6,10,6,NA,NA,NA,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,105,0
106,84,0,20,3,0,0,NA,NA,NA,NA,NA,13,14,6,14,8,11,16,7,12,8,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0
107,92,0,22,3,0,0,10,17,8,13,8,12,16,7,14,8,15,20,10,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,107,1
108,138,1,29,5,0,1,8,13,6,13,6,8,14,8,11,3,NA,NA,NA,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,108,1
109,3,0,20,3,0,0,NA,NA,NA,NA,NA,12,15,6,13,8,12,15,6,16,9,0,0,0,0,0,1,0,0,0,0,0,1,0,109,0
110,110,1,25,5,0,0,NA,NA,NA,NA,NA,11,15,6,13,9,NA,NA,NA,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,110,0
111,NA,NA,NA,NA,NA,NA,10,14,7,14,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,111,1
112,143,1,18,3,0,0,NA,NA,NA,NA,NA,13,16,6,13,8,12,18,8,16,10,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0
113,65,0,36,3,1,0,10,15,8,12,8,10,16,7,16,8,12,16,8,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,113,1
114,69,0,46,4,1,0,10,10,4,8,4,12,15,6,14,8,NA,NA,NA,NA,NA,1,0,2,NA,0,5,NA,0,2,NA,0,9,NA,114,1
115,100,1,51,4,0,0,14,16,4,16,10,14,16,6,20,10,13,17,6,17,10,0,0,2,0,0,0,0,0,0,1,0,2,1,115,1
116,112,0,40,4,1,0,NA,NA,NA,NA,NA,9,16,8,17,10,10,14,7,12,8,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0
117,70,0,37,4,0,1,12,14,8,12,8,10,12,6,12,6,10,15,7,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,117,1
118,47,1,27,3,1,0,12,15,6,13,8,11,15,4,14,8,NA,NA,NA,NA,NA,0,0,2,NA,0,0,NA,0,0,NA,0,2,NA,118,1
119,28,1,45,4,1,0,13,17,6,15,10,13,14,6,10,9,12,18,8,16,9,0,0,0,0,0,0,0,0,0,0,0,0,0,119,1
120,109,1,48,4,1,0,12,14,6,13,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,120,1
121,131,1,24,4,0,0,NA,NA,NA,NA,NA,10,12,6,9,2,NA,NA,NA,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,121,0
122,130,1,52,3,0,0,10,12,6,17,8,10,17,6,16,9,11,13,6,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,122,1
123,78,1,27,3,0,0,12,18,6,15,9,8,17,6,13,9,NA,NA,NA,NA,NA,0,0,1,NA,0,0,NA,0,0,NA,0,1,NA,123,1
124,155,1,21,5,0,0,8,15,8,15,6,10,16,8,12,8,8,13,6,14,6,0,0,0,0,0,0,0,0,0,0,0,0,0,124,1
125,26,0,18,5,0,1,10,17,8,18,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,125,1
126,155,1,63,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,126,0
127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,15,6,12,6,9,16,7,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,127,0
128,80,0,46,4,1,1,9,15,8,13,6,10,12,8,10,4,10,15,6,14,7,1,0,3,0,0,3,4,0,2,0,0,8,4,128,1
129,82,0,55,5,0,0,NA,NA,NA,NA,NA,10,12,6,10,8,9,12,6,11,7,0,0,0,0,0,1,0,0,0,0,0,1,0,129,0
130,15,0,67,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,130,0
131,48,0,70,4,0,1,8,16,6,16,8,12,15,7,17,10,NA,NA,NA,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,131,1
132,147,1,23,6,0,0,NA,NA,NA,NA,NA,14,18,8,14,9,NA,NA,NA,NA,NA,0,0,2,NA,0,0,NA,0,0,NA,0,2,NA,132,0
133,74,1,37,3,0,0,NA,NA,NA,NA,NA,8,15,5,11,8,NA,NA,NA,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,133,0
134,123,0,45,3,0,0,10,13,7,15,9,10,14,8,14,8,11,20,6,16,10,0,0,0,0,0,5,5,0,0,1,0,5,6,134,1
135,80,1,45,4,1,1,NA,NA,NA,NA,NA,8,14,6,13,8,12,15,5,14,6,0,0,2,0,0,2,0,0,0,0,0,4,0,135,0
136,96,0,35,4,0,1,NA,NA,NA,NA,NA,11,16,8,17,8,NA,NA,NA,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,136,0
137,95,0,35,3,0,0,7,12,5,11,6,11,15,6,16,10,9,12,6,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,137,1
138,87,0,60,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,138,0
139,54,0,29,3,0,0,6,11,6,12,6,6,14,6,13,8,NA,NA,NA,NA,NA,1,0,2,NA,0,0,NA,0,3,NA,0,5,NA,139,1
140,78,0,25,3,0,0,10,14,5,16,9,9,15,7,12,6,12,16,8,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,140,1
141,107,1,31,4,0,1,7,20,5,17,10,12,17,6,15,8,NA,NA,NA,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,141,1
142,43,1,19,5,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,142,0
143,31,1,34,4,0,0,14,16,7,15,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,143,1
144,43,0,22,5,1,0,11,15,6,14,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,144,1
145,55,0,21,5,0,0,11,15,6,13,8,10,14,6,12,9,8,11,6,14,6,1,0,3,0,0,4,0,0,2,0,0,9,0,145,1
146,30,0,72,2,0,0,NA,NA,NA,NA,NA,9,15,6,13,8,NA,NA,NA,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,146,0
147,58,0,37,5,NA,1,11,14,5,13,9,11,17,6,11,9,8,13,5,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,147,1
148,41,0,47,4,1,1,10,15,7,12,6,10,16,7,16,9,12,16,8,14,8,1,0,2,2,0,3,5,0,3,1,0,8,8,148,1
149,113,1,33,3,0,0,9,12,7,15,6,10,14,7,13,8,11,12,6,14,5,0,0,0,0,0,0,0,0,0,0,0,0,0,149,1
150,1,1,36,4,0,0,NA,NA,NA,NA,NA,7,13,6,15,3,10,15,6,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0
151,96,1,39,4,0,1,7,16,6,15,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,151,1
152,138,0,24,5,0,1,9,13,6,13,4,12,13,6,8,4,9,12,5,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,152,1
153,50,0,48,2,0,0,13,19,6,18,10,14,16,6,19,10,11,14,7,15,6,0,0,0,0,0,0,0,0,2,0,0,2,0,153,1
154,43,1,57,5,1,0,NA,NA,NA,NA,NA,9,14,8,13,9,10,17,7,16,7,1,0,2,0,0,1,0,0,2,1,0,5,1,154,0
155,112,1,53,4,1,0,NA,NA,NA,NA,NA,10,15,6,12,8,11,15,6,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,155,0
156,128,1,28,4,1,0,10,16,6,14,8,13,18,6,15,10,8,13,5,9,4,0,0,0,0,0,0,5,0,0,1,0,0,6,156,1
157,91,0,46,4,0,0,NA,NA,NA,NA,NA,8,8,3,8,2,8,18,4,14,6,0,0,0,0,0,0,0,0,0,0,0,0,0,157,0
158,126,0,43,2,NA,0,8,17,6,15,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,158,1
159,NA,NA,NA,NA,NA,NA,7,14,8,10,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,159,1
